Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-26,2024-07-26,"Vidrala SA
(VID)","B
Purchase","RAUL GOMEZ MERINO

DIRECTOR GENERAL (CEO)
Officer","1,000

93.00


EUR 39,834","1,000",93.00,"EUR 100,000",
2024-07-26,2024-07-25,"MERLIN Properties SOCIMI SA
(MRL)","B
Purchase","Fernando Ramírez Baeza

Directivo
Officer","1,000

10.21


EUR 22,522","1,000",10.21,"EUR 100,000",
2024-07-26,2024-07-25,"Repsol SA
(REP)","B
Purchase","MARIA DEL PINO VELAZQUEZ MEDINA

CONSEJERA
Director","1,000

13.09


EUR 25,230","1,000",13.09,"EUR 100,000",
2024-07-26,2024-07-25,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,000

49.38


EUR 28,870","1,000",49.38,"EUR 100,000",
2024-07-26,2024-07-24,"MERLIN Properties SOCIMI SA
(MRL)","B
Purchase","Francisca Ortega Hernández-Agero

Consejera
Director","1,000

10.29


EUR 10,710","1,000",10.29,"EUR 100,000",
2024-07-26,2024-07-24,"MERLIN Properties SOCIMI SA
(MRL)","B
Purchase","Fernando Ramírez Baeza

Directivo
Officer","1,000

10.23


EUR 110,583","1,000",10.23,"EUR 100,000",
2024-07-26,2024-07-24,"MERLIN Properties SOCIMI SA
(MRL)","B
Purchase","Juan Alcaraz García

Consejero
Director","1,000

10.08


EUR 32,381","1,000",10.08,"EUR 100,000",
2024-07-26,2024-07-24,"Banco de Sabadell SA
(SAB)","B
Purchase","JOSEP OLIU CREUS

PRESIDENTE
Through TORRELLIMONA. S.L., a closely affiliated person
Director","1,000

2.05


EUR 1,097,570","1,000",2.05,"EUR 100,000",
2024-07-26,2024-07-24,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,000

49.86


EUR 90,763","1,000",49.86,"EUR 100,000",
2024-07-24,2024-07-24,"Iberdrola SA
(IBE)","B
Purchase","María Ángeles Alcalá Díaz

Consejera (independiente)
Non-Executive Director","8,000

11.86


EUR 101,598","8,000",11.86,"EUR 94,880",
2024-07-26,2024-07-23,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","2,250

50.21


EUR 120,971","2,250",50.21,"EUR 112,973",
2024-07-23,2024-07-23,"Enagas SA
(ENG)","B
Purchase","ARTURO GONZALO AIZPIRI

CONSEJERO DELEGADO
Executive Director","7,451

13.47


EUR 107,471","7,451",13.47,"EUR 100,365",
2024-07-23,2024-07-22,"Bankinter SA
(BKT)","B
Purchase","LUCIA CALVO VERGEZ

DIRECTORA CORPORATIVA DE CONTROL Y CUMPLIMIENTO
Officer","76

8.29


EUR 675",76,8.29,EUR 630,
